year	consul_prior	consul_posterior	comment_year	comment_consul_prior	comment_consul_posterior	consul_prior_wikipedia_uri	consul_posterior_wikipedia_uri	godot_uri	label
152	C. Novius Priscus (suff.; July–September)	L. Julius Romulus (suff.)	Unless otherwise noted, consuls from 138 to 161 are taken from Werner Eck, "Die Fasti consulares der Regungszeit des Antoninus Pius, eine Bestandsaufnahme seit Géza Alföldys Konsulat und Senatorenstand" in Studia epigraphica in memoriam Géza Alföldy, hg. W. Eck, B. Feher, and P. Kovács (Bonn, 2013), pp. 69–147					https://godot.date/id/hhpzPTXNpV24pExpjFhJp4	152 AD: C. Novius Priscus (suff.; July–September) / L. Julius Romulus (suff.)
152	P. Cluvius Maximus Paulinus (suff.; October–December)	M. Servilius Silanus (suff.)	Unless otherwise noted, consuls from 138 to 161 are taken from Werner Eck, "Die Fasti consulares der Regungszeit des Antoninus Pius, eine Bestandsaufnahme seit Géza Alföldys Konsulat und Senatorenstand" in Studia epigraphica in memoriam Géza Alföldy, hg. W. Eck, B. Feher, and P. Kovács (Bonn, 2013), pp. 69–148					https://godot.date/id/6XYjU8BdrdSViqUMB6y5h9	152 AD: P. Cluvius Maximus Paulinus (suff.; October–December) / M. Servilius Silanus (suff.)
153	L. Fulvius Rusticus C. Bruttius Praesens (January–March)	A. Junius Rufinus	Unless otherwise noted, consuls from 138 to 161 are taken from Werner Eck, "Die Fasti consulares der Regungszeit des Antoninus Pius, eine Bestandsaufnahme seit Géza Alföldys Konsulat und Senatorenstand" in Studia epigraphica in memoriam Géza Alföldy, hg. W. Eck, B. Feher, and P. Kovács (Bonn, 2013), pp. 69–149			https://en.wikipedia.org/wiki/Gaius_Bruttius_Praesens		https://godot.date/id/AnKSydPdNQQNQwGNaEQgiQ	153 AD: L. Fulvius Rusticus C. Bruttius Praesens (January–March) / A. Junius Rufinus
153	Sex. Caecilius Maximus (suff.; April–June)	M. Pontius Sabinus (suff.)	Unless otherwise noted, consuls from 138 to 161 are taken from Werner Eck, "Die Fasti consulares der Regungszeit des Antoninus Pius, eine Bestandsaufnahme seit Géza Alföldys Konsulat und Senatorenstand" in Studia epigraphica in memoriam Géza Alföldy, hg. W. Eck, B. Feher, and P. Kovács (Bonn, 2013), pp. 69–150	Thus Ronald Syme and Alföldy. Fasti ostiensis reads ...]imus; Attilo Degrassi reads "C. Julius Maximus". (Eck, "Die Fasti consulares", p. 76)				https://godot.date/id/BeZV3ErsH7aihSV8JbXSHa	153 AD: Sex. Caecilius Maximus (suff.; April–June) / M. Pontius Sabinus (suff.)
153	P. Septimius Aper (suff.; July–September)	M. Sedatius Severianus Julius Acer Metilius Nepos Rufinus Ti. Rutilianus Censor (suff.)	Unless otherwise noted, consuls from 138 to 161 are taken from Werner Eck, "Die Fasti consulares der Regungszeit des Antoninus Pius, eine Bestandsaufnahme seit Géza Alföldys Konsulat und Senatorenstand" in Studia epigraphica in memoriam Géza Alföldy, hg. W. Eck, B. Feher, and P. Kovács (Bonn, 2013), pp. 69–151				https://en.wikipedia.org/wiki/Marcus_Sedatius_Severianus	https://godot.date/id/s92a4UhGUk3vnvFBYRmpTB	153 AD: P. Septimius Aper (suff.; July–September) / M. Sedatius Severianus Julius Acer Metilius Nepos Rufinus Ti. Rutilianus Censor (suff.)
153	C. Cattius Marcellus (suff.; October–December)	Q. Petiedius Gallus (suff.)	Unless otherwise noted, consuls from 138 to 161 are taken from Werner Eck, "Die Fasti consulares der Regungszeit des Antoninus Pius, eine Bestandsaufnahme seit Géza Alföldys Konsulat und Senatorenstand" in Studia epigraphica in memoriam Géza Alföldy, hg. W. Eck, B. Feher, and P. Kovács (Bonn, 2013), pp. 69–152					https://godot.date/id/6QjBYCZXsiqQe4eyd8o6RT	153 AD: C. Cattius Marcellus (suff.; October–December) / Q. Petiedius Gallus (suff.)
154	L. Aelius Aurelius Commodus (January–March)	T. Sextius Lateranus	Unless otherwise noted, consuls from 138 to 161 are taken from Werner Eck, "Die Fasti consulares der Regungszeit des Antoninus Pius, eine Bestandsaufnahme seit Géza Alföldys Konsulat und Senatorenstand" in Studia epigraphica in memoriam Géza Alföldy, hg. W. Eck, B. Feher, and P. Kovács (Bonn, 2013), pp. 69–153			https://en.wikipedia.org/wiki/Lucius_Verus	https://en.wikipedia.org/wiki/Titus_Sextius_Lateranus_(consul_154)	https://godot.date/id/w42ZSRxBptgCukicD3GZ9J	154 AD: L. Aelius Aurelius Commodus (January–March) / T. Sextius Lateranus
154	(Prifernius?) Paetus (suff.; April–June)	M. Nonius Macrinus (suff.)	Unless otherwise noted, consuls from 138 to 161 are taken from Werner Eck, "Die Fasti consulares der Regungszeit des Antoninus Pius, eine Bestandsaufnahme seit Géza Alföldys Konsulat und Senatorenstand" in Studia epigraphica in memoriam Géza Alföldy, hg. W. Eck, B. Feher, and P. Kovács (Bonn, 2013), pp. 69–154				https://en.wikipedia.org/wiki/Marcus_Nonius_Macrinus	https://godot.date/id/GpagrTCZU2AvUNtsPwRYz9	154 AD: (Prifernius?) Paetus (suff.; April–June) / M. Nonius Macrinus (suff.)
154	M. Valerius Etruscus (?) (suff.; July–August)	L. Aemilius Iuncus (?) (suff.)	Unless otherwise noted, consuls from 138 to 161 are taken from Werner Eck, "Die Fasti consulares der Regungszeit des Antoninus Pius, eine Bestandsaufnahme seit Géza Alföldys Konsulat und Senatorenstand" in Studia epigraphica in memoriam Géza Alföldy, hg. W. Eck, B. Feher, and P. Kovács (Bonn, 2013), pp. 69–155	Fasti ostiensis reads [...]cus; Eck restores the name as the legate of Legio III (Eck, "Die Fasti consulares", p. 77)	All that survives from the ''Fasti ostienses'' is the praenomen; Eck accepts this restoration by Alföldy.			https://godot.date/id/bK75gA6ssCrVqLdnAYXPSE	154 AD: M. Valerius Etruscus (?) (suff.; July–August) / L. Aemilius Iuncus (?) (suff.)
154	Ti. Claudius Julianus (suff.; September–October)	Sex. Calpurnius Agricola (suff.)	Unless otherwise noted, consuls from 138 to 161 are taken from Werner Eck, "Die Fasti consulares der Regungszeit des Antoninus Pius, eine Bestandsaufnahme seit Géza Alföldys Konsulat und Senatorenstand" in Studia epigraphica in memoriam Géza Alföldy, hg. W. Eck, B. Feher, and P. Kovács (Bonn, 2013), pp. 69–156				https://en.wikipedia.org/wiki/Sextus_Calpurnius_Agricola	https://godot.date/id/k3etb3JMpMn79HknzUWLSE	154 AD: Ti. Claudius Julianus (suff.; September–October) / Sex. Calpurnius Agricola (suff.)
154	C. Julius Statius Severus (suff.; November–December)	T. Junius Severus (suff.)	Unless otherwise noted, consuls from 138 to 161 are taken from Werner Eck, "Die Fasti consulares der Regungszeit des Antoninus Pius, eine Bestandsaufnahme seit Géza Alföldys Konsulat und Senatorenstand" in Studia epigraphica in memoriam Géza Alföldy, hg. W. Eck, B. Feher, and P. Kovács (Bonn, 2013), pp. 69–157					https://godot.date/id/LyZBNkjWbTg9XxLZXzbeKJ	154 AD: C. Julius Statius Severus (suff.; November–December) / T. Junius Severus (suff.)
155	C. Julius Severus (January–March)	M. Junius Rufinus Sabinianus	Unless otherwise noted, consuls from 138 to 161 are taken from Werner Eck, "Die Fasti consulares der Regungszeit des Antoninus Pius, eine Bestandsaufnahme seit Géza Alföldys Konsulat und Senatorenstand" in Studia epigraphica in memoriam Géza Alföldy, hg. W. Eck, B. Feher, and P. Kovács (Bonn, 2013), pp. 69–158					https://godot.date/id/9Yw76x8qXgGZsqH5qwKbpd	155 AD: C. Julius Severus (January–March) / M. Junius Rufinus Sabinianus
155	C. Aufidius Victorinus (suff.; April–June)	M. Gavius ... (suff.)	Unless otherwise noted, consuls from 138 to 161 are taken from Werner Eck, "Die Fasti consulares der Regungszeit des Antoninus Pius, eine Bestandsaufnahme seit Géza Alföldys Konsulat und Senatorenstand" in Studia epigraphica in memoriam Géza Alföldy, hg. W. Eck, B. Feher, and P. Kovács (Bonn, 2013), pp. 69–159		Identified by Alföldy as M. Gavius Appalius Maximus. (Eck, "Die Fasti consulares", p. 77 n. 24)	https://en.wikipedia.org/wiki/Gaius_Aufidius_Victorinus		https://godot.date/id/CLZN9NaWt5xs75hHWmG4h9	155 AD: C. Aufidius Victorinus (suff.; April–June) / M. Gavius ... (suff.)
155	Antius Pollio (suff.; attested 3 November)	Minicius Opimianus (suff.)	Unless otherwise noted, consuls from 138 to 161 are taken from Werner Eck, "Die Fasti consulares der Regungszeit des Antoninus Pius, eine Bestandsaufnahme seit Géza Alföldys Konsulat und Senatorenstand" in Studia epigraphica in memoriam Géza Alföldy, hg. W. Eck, B. Feher, and P. Kovács (Bonn, 2013), pp. 69–160		The son of the son of the suffect consul of 123. (Eck, "Die Fasti consulares", p. 77)			https://godot.date/id/uz5MV3PxfiZAeE4rBVmJfN	155 AD: Antius Pollio (suff.; attested 3 November) / Minicius Opimianus (suff.)
155	[? D. Rupilius] Severus (suff.; attested 11 December)	L. Julius T. Statilius Severus (suff.)	Unless otherwise noted, consuls from 138 to 161 are taken from Werner Eck, "Die Fasti consulares der Regungszeit des Antoninus Pius, eine Bestandsaufnahme seit Géza Alföldys Konsulat und Senatorenstand" in Studia epigraphica in memoriam Géza Alföldy, hg. W. Eck, B. Feher, and P. Kovács (Bonn, 2013), pp. 69–161					https://godot.date/id/NgfgRQxVHJZAqEWv67UqFW	155 AD: [? D. Rupilius] Severus (suff.; attested 11 December) / L. Julius T. Statilius Severus (suff.)
156	M. Ceionius Silvanus (January–February)	C. Serius Augurinus	Unless otherwise noted, consuls from 138 to 161 are taken from Werner Eck, "Die Fasti consulares der Regungszeit des Antoninus Pius, eine Bestandsaufnahme seit Géza Alföldys Konsulat und Senatorenstand" in Studia epigraphica in memoriam Géza Alföldy, hg. W. Eck, B. Feher, and P. Kovács (Bonn, 2013), pp. 69–162			https://en.wikipedia.org/wiki/Marcus_Caeionius_Silvanus		https://godot.date/id/ukmqmuziBrm7LVmb36fNWa	156 AD: M. Ceionius Silvanus (January–February) / C. Serius Augurinus
156	A. Avillius Urinatius Quadratus (suff.; attested 7–14 March)	Strabo Aemilianus (suff.)	Unless otherwise noted, consuls from 138 to 161 are taken from Werner Eck, "Die Fasti consulares der Regungszeit des Antoninus Pius, eine Bestandsaufnahme seit Géza Alföldys Konsulat und Senatorenstand" in Studia epigraphica in memoriam Géza Alföldy, hg. W. Eck, B. Feher, and P. Kovács (Bonn, 2013), pp. 69–163					https://godot.date/id/JorqUi6UUWfPBjv5F7ZBVX	156 AD: A. Avillius Urinatius Quadratus (suff.; attested 7–14 March) / Strabo Aemilianus (suff.)
