emperor_label	wikidata_uri	victory_title	number	title_is_uncertain	not_before	not_after	time_span_end	date_is_uncertain	comment	godot_uri		
Gallienus	https://www.wikidata.org/wiki/Q104475	Germanicus	1		0254		0268-09		end of 254 AD	https://godot.date/id/qLBkE6A6vm8aNum8hbxVDo		
Gallienus	https://www.wikidata.org/wiki/Q104475	Germanicus max.	1		0255		0257			https://godot.date/id/9k6YdkxSXGuiTM2HrbKSC7		
Gallienus	https://www.wikidata.org/wiki/Q104475	Germanicus max.	3		0257		0258			https://godot.date/id/3PRm7SvXMB7KCWyf9yoXRM		
Gallienus	https://www.wikidata.org/wiki/Q104475	Germanicus max.	5		0258		0268-09			https://godot.date/id/U2ndfFKTWNHsKps7i5rmgb		
Gallienus	https://www.wikidata.org/wiki/Q104475	Dacicus max.	1	TRUE	0257		0268-09	TRUE	AE 1993, 914; Dessau 552; unofficial?	https://godot.date/id/onW8twTkZuKF6K8notdbfa		
Gallienus	https://www.wikidata.org/wiki/Q104475	Persicus max.	1		0265		0268-09	TRUE		https://godot.date/id/cuxU2LFDtWYhMdngXNUhND		
Gallienus	https://www.wikidata.org/wiki/Q104475	Parthicus max.	1		0265		0268-09	TRUE		https://godot.date/id/q6MGtLEShBbPobZ2DsnazJ		
Claudius II Gothicus	https://www.wikidata.org/wiki/Q46762	Germanicus max.	1		0268		0270-09			https://godot.date/id/NGTM2FwdvQkfofKQgGYdeE		
Claudius II Gothicus	https://www.wikidata.org/wiki/Q46762	Gothicus max.	1		0269		0270-09			https://godot.date/id/pqXQwhUhAArpeJJLcAqZ89		
Claudius II Gothicus	https://www.wikidata.org/wiki/Q46762	Parthicus max.	1		0270		0270-09			https://godot.date/id/wciVkjDPnTXi6EcNHg99ZE		
Aurelian	https://www.wikidata.org/wiki/Q46780	Germanicus max.	1		0271		0275-10			https://godot.date/id/WQEEqsHcsmB7RWshUo5idT		
Aurelian	https://www.wikidata.org/wiki/Q46780	Gothicus max.	1		0272		0275-10			https://godot.date/id/82j6evRe4bimWK96rJAtje		
Aurelian	https://www.wikidata.org/wiki/Q46780	Dacicus max.	1		0272		0275-10	TRUE	not officially used	https://godot.date/id/Y7e3isL6pFFxsJodCGqNCH		
Aurelian	https://www.wikidata.org/wiki/Q46780	Parthicus max.	1		0272		0275-10			https://godot.date/id/nappN232N8QTMYLUDJEiG5		
Aurelian	https://www.wikidata.org/wiki/Q46780	Arabicus max.	1		0272		0275-10		not officially used	https://godot.date/id/7gLaDKhHLcEqyLKkUkuAtU		
Aurelian	https://www.wikidata.org/wiki/Q46780	Palmyrenicus max.	1		0272		0275-10		not officially used	https://godot.date/id/455UjPBve3CGpTNUbxy9h9		
Aurelian	https://www.wikidata.org/wiki/Q46780	Armeniacus	1	TRUE			0275-10	TRUE	only in HA 30, 5; irregular?	https://godot.date/id/7fXrZHL8E9Hy8aBTjVB8VA		
Aurelian	https://www.wikidata.org/wiki/Q46780	Adiabenicus	1	TRUE			0275-10	TRUE	only in HA 30, 5; irregular?	https://godot.date/id/F2UBeyjeFUvwQKfef4qKgP		
Aurelian	https://www.wikidata.org/wiki/Q46780	Carpicus max.	1		0273		0275-10			https://godot.date/id/ijaZ8pkNnVD9R5VaABKrPf		
Tacitus	https://www.wikidata.org/wiki/Q177988	Gothicus max.	1		0276-06	0276-07	0276	TRUE	early summer	https://godot.date/id/aj6qgXwc2wHcXgHpheGdGV		
Probus	https://www.wikidata.org/wiki/Q187068	Gothicus	1		0277		0282			https://godot.date/id/48fkebin8t7CscUNFm9ynM		
Probus	https://www.wikidata.org/wiki/Q187068	Gothicus max.	1		0279-10		0282			https://godot.date/id/jYM5PRjRijP2rNMWW5EYw3		
Probus	https://www.wikidata.org/wiki/Q187068	Germanicus max.	1		0279-10		0282			https://godot.date/id/Wep3VsjEcYLkwSz6mELWeG		
Probus	https://www.wikidata.org/wiki/Q187068	Parthicus max.	1		0279-10		0282		only in papyri	https://godot.date/id/5UHskxdqfPis8mGDRCM46Y		
Carus	https://www.wikidata.org/wiki/Q187004	Germanicus max.	1			0283-04-07	0283-08			https://godot.date/id/wkxpmSv8CkgXU6Bfa4yTnU		
Carus	https://www.wikidata.org/wiki/Q187004	Parthicus max.	1		0283		0283-08			https://godot.date/id/bXcASWR6aePgksXEHaM2E2		
Carinus	https://www.wikidata.org/wiki/Q190097	Germanicus max.	1			0283-04-07	0285-09			https://godot.date/id/bPqABTYKU9AJiv5azF2L5f		
Carinus	https://www.wikidata.org/wiki/Q190097	Persicus max.	1		0283		0285-09			https://godot.date/id/5j3pw7CqbXLqaUXkP9Ypkb		
Carinus	https://www.wikidata.org/wiki/Q190097	Britannicus max.	1		0284-06	0284-07	0285-09		mid 284 AD	https://godot.date/id/vJY62MHMEZpLDfUndWXoSP		
Numerianus	https://www.wikidata.org/wiki/Q46821	Germanicus max.	1	TRUE			0284-11	TRUE		https://godot.date/id/QNeeRmZRMEkbuzmk3ugJmY		
Numerianus	https://www.wikidata.org/wiki/Q46821	Persicus max.	1		0283		0284-11			https://godot.date/id/fpjCvqKEnCq9sj9aJGrLyg		
Numerianus	https://www.wikidata.org/wiki/Q46821	Britannicus max.	1		0284		0284-11			https://godot.date/id/Gs7EjDpT2PbkXxKYZ7rSHX		
Numerianus	https://www.wikidata.org/wiki/Q46821	Gothicus max.	1	TRUE			0284-11	TRUE	ZPE 149, 2004, p. 246	https://godot.date/id/CXKx9H7hNFZ8GTSsghpzcM		
Diocletian	https://www.wikidata.org/wiki/Q43107	Germanicus max.	1		0285		0287			https://godot.date/id/UDwMNHsqmukSuRFDYxCSoj		
Diocletian	https://www.wikidata.org/wiki/Q43107	Sarmaticus max.	1		0285		0289			https://godot.date/id/wKYYALKfCSwGXK7aKJR8zL		
Diocletian	https://www.wikidata.org/wiki/Q43107	Germanicus max.	2		0287		0287			https://godot.date/id/65odXnznvYAA3ZmA8FCXvF		
Diocletian	https://www.wikidata.org/wiki/Q43107	Germanicus max.	3		0287		0288			https://godot.date/id/i8Z9f2XD3UwGeaHy9QjxV4		
Diocletian	https://www.wikidata.org/wiki/Q43107	Germanicus max.	4		0288		0293			https://godot.date/id/uKexMRd8rtPUgUdg2pngEJ		
Diocletian	https://www.wikidata.org/wiki/Q43107	Sarmaticus max.	2		0289		0294			https://godot.date/id/7TWGRqjdvRsmgKvidKkN6g		
Diocletian	https://www.wikidata.org/wiki/Q43107	Germanicus max.	5		0293		0301			https://godot.date/id/ybHtiox2o9wmNi6TjUN8cg		
Diocletian	https://www.wikidata.org/wiki/Q43107	Sarmaticus max.	3		0294		0305-05-01			https://godot.date/id/YgYeruebCYfmSnBLTser2V		
Diocletian	https://www.wikidata.org/wiki/Q43107	Persicus max.	1		0295		0298	TRUE		https://godot.date/id/3QhTCPE4guakm339xQv4XA		
Diocletian	https://www.wikidata.org/wiki/Q43107	Britannicus max.	1		0296	0297	0305-05-01	TRUE		https://godot.date/id/zp5PLCFn7E8Svn6XwRvJua		
Diocletian	https://www.wikidata.org/wiki/Q43107	Carpicus max.	1		0296	0297	0305-05-01	TRUE		https://godot.date/id/6ZwkCwGW4gvEroMdk428fQ		
Diocletian	https://www.wikidata.org/wiki/Q43107	Armeniacus max.	1		0298		0305-05-01			https://godot.date/id/B8iRJLEjV3s5fZCpM7PHAm		
Diocletian	https://www.wikidata.org/wiki/Q43107	Medicus max.	1		0298		0305-05-01			https://godot.date/id/Y45Bgt9GiMtkrBQv5BcjXY		
Diocletian	https://www.wikidata.org/wiki/Q43107	Adiabenicus max.	1		0298		0305-05-01			https://godot.date/id/xpGXKuXmqRY6s23yseDB8P		
Diocletian	https://www.wikidata.org/wiki/Q43107	Persicus max.	2		0298		0305-05-01			https://godot.date/id/CJiywiw3SCUzHeZvMgJF8Z		
Diocletian	https://www.wikidata.org/wiki/Q43107	Sarmaticus max.	2		0299	0300	0305-05-01	TRUE		https://godot.date/id/5soFaYanqdpg3VKr8aLLw5		
Diocletian	https://www.wikidata.org/wiki/Q43107	Germanicus max.	6		0300	0301	0305-05-01	TRUE		https://godot.date/id/K8ji926JyWeJDEUKwTbLCM		
Diocletian	https://www.wikidata.org/wiki/Q43107	Gothicus max.	1		0293		0305-05-01	TRUE	ca. 293; after 296/7 AD not used	https://godot.date/id/s5BSbGfPXyUhmKq6BqTbyC		
Maximian	https://www.wikidata.org/wiki/Q46768	Germanicus max.	1		0287		0287			https://godot.date/id/P8s82TE2NYCrh6k7QBDw2Q		
Maximian	https://www.wikidata.org/wiki/Q46768	Germanicus max.	2		0287		0288			https://godot.date/id/NNfb3AJphoXsKjt7RyyW9V		
Maximian	https://www.wikidata.org/wiki/Q46768	Germanicus max.	3		0288		0293			https://godot.date/id/E6sdzZ2C6y8Sif7drZakqb		
Maximian	https://www.wikidata.org/wiki/Q46768	Sarmaticus max.	1		0289		0294			https://godot.date/id/fWAM2S49MnoWwBicuoXXNR		
Maximian	https://www.wikidata.org/wiki/Q46768	Germanicus max.	4		0293		0301			https://godot.date/id/Z5pV2X6hNzrhLsRXo3uAtK		
Maximian	https://www.wikidata.org/wiki/Q46768	Sarmaticus max.	2		0294		0300			https://godot.date/id/naUj5hqS2SgnXSnXPF65kE		
Maximian	https://www.wikidata.org/wiki/Q46768	Persicus max.	1		0295		0298	TRUE		https://godot.date/id/zvgBLduV5eEJTVvq9hY7WG		
Maximian	https://www.wikidata.org/wiki/Q46768	Britannicus max.	1		0296	0297	0310-07	TRUE		https://godot.date/id/8TLDJaY2qfnS9Bp24VSAxG		
Maximian	https://www.wikidata.org/wiki/Q46768	Carpicus max.	1		0296	0297	0310-07	TRUE		https://godot.date/id/5jVqmoZkZaf6i4Y7J4YQsF		
Maximian	https://www.wikidata.org/wiki/Q46768	Armeniacus max.	1		0298		0310-07			https://godot.date/id/o9gpJiyecR6gjCq9jCFKEG		
Maximian	https://www.wikidata.org/wiki/Q46768	Medicus max.	1		0298		0310-07			https://godot.date/id/2C7y4ziKDy2sVe56mAw6zS		
Maximian	https://www.wikidata.org/wiki/Q46768	Adiabenicus max.	1		0298		0310-07			https://godot.date/id/ncjWTyFrhoahVnkT3Myth2		
Maximian	https://www.wikidata.org/wiki/Q46768	Persicus max.	2		0298		0310-07			https://godot.date/id/qhjWXfM2T4Xdguh5bnk8v2		
Maximian	https://www.wikidata.org/wiki/Q46768	Sarmaticus max.	3		0299	0300	0310-07	TRUE		https://godot.date/id/wDLJN6LseBSXSJtbbj6JDG		
Maximian	https://www.wikidata.org/wiki/Q46768	Germanicus max.	5		0300	0301	0310-07	TRUE		https://godot.date/id/PLT526Ya4cSPyQufKfmDqC		
Maximian	https://www.wikidata.org/wiki/Q46768	Gothicus max.	1		0293		0310-07	TRUE	ca. 293 AD; not used after 296/6 AD	https://godot.date/id/qAKJfYbttEMG8rPp2kHVxY		
Constantius I	https://www.wikidata.org/wiki/Q131195	Germanicus max.	1		0293		0301			https://godot.date/id/xyGpFukwza8JMSTetbg4wN		
Constantius I	https://www.wikidata.org/wiki/Q131195	Sarmaticus max.	1		0294		0300			https://godot.date/id/WkxLV9DxxvnuauKXsfSSBj		
Constantius I	https://www.wikidata.org/wiki/Q131195	Persicus max.	1		0295		0298	TRUE		https://godot.date/id/iwNiY9jKrVFbetnSoX9Wjg		
Constantius I	https://www.wikidata.org/wiki/Q131195	Britannicus max.	1		0296	0297	0305	TRUE		https://godot.date/id/hEtG2bf97VqugFzokDb5r2		
Constantius I	https://www.wikidata.org/wiki/Q131195	Carpicus max.	1		0296	0297	0301	TRUE		https://godot.date/id/w6FPe44zNkLCEhkN97f2ja		
Constantius I	https://www.wikidata.org/wiki/Q131195	Medicus max.	1		0298		0306-07-25			https://godot.date/id/t4QXWzj5BD4davEdU8S7pj		
Constantius I	https://www.wikidata.org/wiki/Q131195	Adiabenicus max.	1		0298		0310-07			https://godot.date/id/onuhKMHJsfsCrtwifHbEaW		
Constantius I	https://www.wikidata.org/wiki/Q131195	Persicus max.	2		0298		0310-07			https://godot.date/id/Y8k5mphqhWcdRy6VM95UD6		
Constantius I	https://www.wikidata.org/wiki/Q131195	Sarmaticus max.	2		0299	0300	0302	TRUE		https://godot.date/id/X6s29znbC7uvmv9mLLgrf6		
Constantius I	https://www.wikidata.org/wiki/Q131195	Germanicus max.	2		0300	0301	0302	TRUE		https://godot.date/id/5CDinDu9EDU4KgtTPtEKuH		
Constantius I	https://www.wikidata.org/wiki/Q131195	Germanicus max.	3		0302		0303			https://godot.date/id/Z2gmVQeoJnPmvYE4kkwaad		
Constantius I	https://www.wikidata.org/wiki/Q131195	Germanicus max.	4		0303		0304			https://godot.date/id/H8n4yCtD9CcMXLMTRh8vUk		
Constantius I	https://www.wikidata.org/wiki/Q131195	Germanicus max.	5		0304		0310-07			https://godot.date/id/99geog66a5SckUciNnL3HA		
Constantius I	https://www.wikidata.org/wiki/Q131195	Carpicus max.	2		0301		0302			https://godot.date/id/qXtpy6vvFX78b6b28SVQCR		
Constantius I	https://www.wikidata.org/wiki/Q131195	Carpicus max.	3		0302		0303			https://godot.date/id/xdzYem28KR5YSJyz4FdkLM		
Constantius I	https://www.wikidata.org/wiki/Q131195	Carpicus max.	4		0303		0304			https://godot.date/id/ivhUPQAykMSVngE7NErkY4		
Constantius I	https://www.wikidata.org/wiki/Q131195	Carpicus max.	5		0304		0310-07			https://godot.date/id/vCPiqKiUFXa6NE2SAvTvz5		
Constantius I	https://www.wikidata.org/wiki/Q131195	Sarmaticus max.	3		0302		0310-07	TRUE		https://godot.date/id/KT3hpo5sWeyKTUkJQWWFfE		
Constantius I	https://www.wikidata.org/wiki/Q131195	Britannicus max.	2		0305		0310-07			https://godot.date/id/Nj5M5YXtcBVAAfgmdTvmpn		
Constantius I	https://www.wikidata.org/wiki/Q131195	Gothicus max.	1		0293		0310-07	TRUE	ca. 293; after 296/7 AD not used	https://godot.date/id/ZfmTQiiXQ33jYtRzdnkVXJ		
Galerius	https://www.wikidata.org/wiki/Q172168	Germanicus max.	1		0293		0301			https://godot.date/id/3RUZcvQ8aKe72raN3jta7o		
Galerius	https://www.wikidata.org/wiki/Q172168	Aegyptiacus max.	1	TRUE	0293	0294	0311-05	TRUE	only attestation: Euseb. hsit.eccl. 8, 17, 3	https://godot.date/id/kTuxeXydXjmx5AAsYyvjLD		
Galerius	https://www.wikidata.org/wiki/Q172168	Thebaicus max.	1	TRUE	0293	0294	0311-05	TRUE		https://godot.date/id/sTizBU86MqJRzXfaNZUP6S		
Galerius	https://www.wikidata.org/wiki/Q172168	Sarmaticus max.	1		0294		0300			https://godot.date/id/wYks9uToAZTyQyoFd43GU6		
Galerius	https://www.wikidata.org/wiki/Q172168	Persicus max.	1		0295		0298	TRUE		https://godot.date/id/hDhBVUbjGphc9ojioADzAB		
Galerius	https://www.wikidata.org/wiki/Q172168	Britannicus max.	1		0296	0297	0305	TRUE		https://godot.date/id/hZsrgqbtWtJg4MGdp4PcsP		
Galerius	https://www.wikidata.org/wiki/Q172168	Carpicus max.	1		0296	0297	0301	TRUE		https://godot.date/id/aazZA84CHsVA8tHinLyCac		
Galerius	https://www.wikidata.org/wiki/Q172168	Armeniacus max.	1		0298		0311-05			https://godot.date/id/VAQdoEKfxkZJNMcuYHRwKT		
Galerius	https://www.wikidata.org/wiki/Q172168	Medicus max.	1		0298		0311-05			https://godot.date/id/EwpVhU793BAesURJbfgiBb		
Galerius	https://www.wikidata.org/wiki/Q172168	Adiabenicus max.	1		0298		0311-05			https://godot.date/id/m377VSJ5LfpBMeGKfvoJqb		
Galerius	https://www.wikidata.org/wiki/Q172168	Persicus max.	2		0298		0310			https://godot.date/id/XBDXcbdGymE5mpXt9ZyGdR		
Galerius	https://www.wikidata.org/wiki/Q172168	Sarmaticus max.	2		0299	0300	0302	TRUE		https://godot.date/id/bYKhCR9vKHzJzqC2SKizyd		
Galerius	https://www.wikidata.org/wiki/Q172168	Germanicus max.	2		0300	0301	0302	TRUE		https://godot.date/id/xucxhQxp2YPFcHf6o6b96P		
