cycle	indiction_year	not_before	not_after	godot_uri
23	7	0647-08-30	0648-08-28	https://godot.date/id/3UwKd2ceArzctewxNjh2vc
23	8	0648-08-29	0649-08-28	https://godot.date/id/GMMzzAhpxnVfJHMJDMWCUG
23	9	0649-08-29	0650-08-28	https://godot.date/id/zjBUU4xPv8FczVL2XpUNJ7
23	10	0650-08-29	0651-08-29	https://godot.date/id/vWGkgr6PPS9pRvrVSjSC8b
23	11	0651-08-30	0652-08-28	https://godot.date/id/YYgQ3qJHnN45aEVxfP5ULS
23	12	0652-08-29	0653-08-28	https://godot.date/id/rd3teAwyf5TqzVtRBm6tD4
23	13	0653-08-29	0654-08-28	https://godot.date/id/tnckWGadfbJUxfDrVBA5bc
23	14	0654-08-29	0655-08-29	https://godot.date/id/PQtr6mpYge28rKsfoUtwLb
23	15	0655-08-30	0656-08-28	https://godot.date/id/J4ABDJTwiKFwLPeNTQW4BK
24	1	0656-08-29	0657-08-28	https://godot.date/id/wGbkWYTvfruAo9kHkDyUfY
24	2	0657-08-29	0658-08-28	https://godot.date/id/DiGz8BoSbX3dMNS9x2f7kV
24	3	0658-08-29	0659-08-29	https://godot.date/id/zbzJReoQ6s9mU3u2QhFUB6
24	4	0659-08-30	0660-08-28	https://godot.date/id/YFeqVtKLJrMNJrX8QV8qu5
24	5	0660-08-29	0661-08-28	https://godot.date/id/NFm7MawH69FNAXnj585gqg
24	6	0661-08-29	0662-08-28	https://godot.date/id/fehsBNWfXtTbMRfre8Udf9
24	7	0662-08-29	0663-08-29	https://godot.date/id/N45qHm2hjNoD9fJDZBw6tQ
24	8	0663-08-30	0664-08-28	https://godot.date/id/yfKy2ygG94ksekZeJmqLR8
24	9	0664-08-29	0665-08-28	https://godot.date/id/kjB3DdkQQDMLKaeQkKByGf
24	10	0665-08-29	0666-08-28	https://godot.date/id/FyvX5aHZF9vG3USThfPkiX
24	11	0666-08-29	0667-08-29	https://godot.date/id/UAyPreXZDL45oCDNyPAcQC
24	12	0667-08-30	0668-08-28	https://godot.date/id/Tgqrpg8jsHNq7TC5WyA2BV
24	13	0668-08-29	0669-08-28	https://godot.date/id/GqqhimW9iRzf5Fwjab3EJM
24	14	0669-08-29	0670-08-28	https://godot.date/id/AxYWhSizQncYis9vDuZKXE
24	15	0670-08-29	0671-08-29	https://godot.date/id/thGZXxmBVduZhxXa6CuQ7W
25	1	0671-08-30	0672-08-28	https://godot.date/id/H96qfzKrfLNqYQRRuosLJJ
25	2	0672-08-29	0673-08-28	https://godot.date/id/egJBxhm59mAWvn7aHuqfGk
25	3	0673-08-29	0674-08-28	https://godot.date/id/z8XXNh8VUhD8dCy3v2vpkS
25	4	0674-08-29	0675-08-29	https://godot.date/id/8dZGcEyZAVhxjCcmjNZ6A8
25	5	0675-08-30	0676-08-28	https://godot.date/id/puXPaGsSi6KCjMshuSUVzd
25	6	0676-08-29	0677-08-28	https://godot.date/id/EtgTLGHmEx2DWWp9FP7MyZ
25	7	0677-08-29	0678-08-28	https://godot.date/id/Xpm4SfcNKpWMY5X5o6eZue
25	8	0678-08-29	0679-08-29	https://godot.date/id/RE49VUvWFyrv52vkss6S5R
25	9	0679-08-30	0680-08-28	https://godot.date/id/p2jSTDD6Hd5W2vjZA62vCU
25	10	0680-08-29	0681-08-28	https://godot.date/id/aCFT8m6qv2GzJkabKm44eD
25	11	0681-08-29	0682-08-28	https://godot.date/id/x5gsqufAfatRSfyDNnpQd3
25	12	0682-08-29	0683-08-29	https://godot.date/id/azbNoaVmGrL3EGr6yxvCtA
25	13	0683-08-30	0684-08-28	https://godot.date/id/n4Wx2y2dbEYsnduAjuuLfD
25	14	0684-08-29	0685-08-28	https://godot.date/id/4agr6nNvmjrtjzQwVBUXzM
25	15	0685-08-29	0686-08-28	https://godot.date/id/2tCyWLsnRcJyg7HXFkx7QB
26	1	0686-08-29	0687-08-29	https://godot.date/id/YWYsdrBCisdoxPChhggBFQ
26	2	0687-08-30	0688-08-28	https://godot.date/id/z2YUDsSUwmCYsutpNsUEpa
26	3	0688-08-29	0689-08-28	https://godot.date/id/9Tw4M8HVkU7XH4HXShTxCQ
26	4	0689-08-29	0690-08-28	https://godot.date/id/4V6YcJ2LA5qcizZPJj2YPD
26	5	0690-08-29	0691-08-29	https://godot.date/id/aPNp4MMwxSCXPKZkT72yb7
26	6	0691-08-30	0692-08-28	https://godot.date/id/ibrRaN6KKUQXo8NrqdieCn
26	7	0692-08-29	0693-08-28	https://godot.date/id/mSC5VVVLT4eT7e2hjxpBHK
26	8	0693-08-29	0694-08-28	https://godot.date/id/arvrhhMxpbMom9rbFoVuc7
26	9	0694-08-29	0695-08-29	https://godot.date/id/4rRXy8BbFBGLaP923UyKVZ
26	10	0695-08-30	0696-08-28	https://godot.date/id/qDGzUR4At4UHtQygNHpnhb
26	11	0696-08-29	0697-08-28	https://godot.date/id/RdSGpc7Uu7VqUJaWCPFE3c
26	12	0697-08-29	0698-08-28	https://godot.date/id/LgNshpnQBg9y3p4xyyYaJa
26	13	0698-08-29	0699-08-29	https://godot.date/id/7zvKkZgSvRGCt6u6BVi3w3
26	14	0699-08-30	0700-08-28	https://godot.date/id/wSQ2ZUs9vsA6mEwuATGFMk
26	15	0700-08-29	0701-08-28	https://godot.date/id/tghqnFf7ibzeE2ym9ZRcWP
27	1	0701-08-29	0702-08-28	https://godot.date/id/AmCRHdAzvipFGZiJpFzAY5
27	2	0702-08-29	0703-08-29	https://godot.date/id/wTMZBf9AxBvswx4iN6LmM8
27	3	0703-08-30	0704-08-29	https://godot.date/id/GAJRqiF7ZPKH38iWpxBAd2
