emperor_label	wikidata_uri	consulate	number	title_is_uncertain	not_before	not_after	time_span_end	date_is_uncertain	comment	godot_uri	part_of_consulate		
Nero	https://www.wikidata.org/wiki/Q1413	cos.	1		0055-01-01	0055-03-01	0057-01-01			https://godot.date/id/FoNhsjubuUGUJrsz5k8MxL	https://godot.date/id/69ULu86fnzsjKVJEiJRo6F		
Nero	https://www.wikidata.org/wiki/Q1413	cos.	2		0057-01-01	0057-12-31	0058-01-01			https://godot.date/id/ZZNzdkTsjEGLUpWcTYFwUX	https://godot.date/id/yxJUMvfxxcXXiNKT42J6KA ; https://godot.date/id/PpL9sKUnTuhdYpSPCPokrV		
Nero	https://www.wikidata.org/wiki/Q1413	cos.	3		0058-01-01	0058-04-30	0060-01-01			https://godot.date/id/Vx9afUmfWwi5dF2kcawGR5	https://godot.date/id/8PZKA6GSny4WjQNeRb8stg		
Nero	https://www.wikidata.org/wiki/Q1413	cos.	4		0060-01-01	0060-06-30	0068-04-15			https://godot.date/id/VqPiEMEVgSa62WHRrA2WgF	https://godot.date/id/UcCo4fbVbhNKdL7A9iBn2N		
Nero	https://www.wikidata.org/wiki/Q1413	cos. suff.	5		0068-04-15	0068-06-09	0068-06-09		sine collega	https://godot.date/id/u8dLRuHVM3SEkPhCVjFNLD	https://godot.date/id/zwPxEQKEoZUFHVXarLUsve		
Galba	https://www.wikidata.org/wiki/Q1414	cos.	1		0033-01-01	0033-06-30				https://godot.date/id/iB3rYCSAPVGHkEreB6bWQE	https://godot.date/id/o9xbdc2RtPPhx2UWtd6FEe		
Galba	https://www.wikidata.org/wiki/Q1414	cos. design.	2			0068-12-22	0069-01-01			https://godot.date/id/N8wxGWpJR3rUqrbNGRhsXn			
Galba	https://www.wikidata.org/wiki/Q1414	cos.	2		0069-01-01	0069-01-15	0069-01-15			https://godot.date/id/5NnTQdo3KGW224MxrvEs8E	https://godot.date/id/dTXPwx7BgwsheaAcpd5XTZ		
Otho	https://www.wikidata.org/wiki/Q1416	cos. suff.	1		0069-01-26	0069-02-28	0069-04-16			https://godot.date/id/cUwoMYbgCAZ4B836h2sSv9	https://godot.date/id/XiJQfkGq7Spy9SNvMPKg4V		
Vitellius	https://www.wikidata.org/wiki/Q1417	cos.	1		0048-01-01	0048-06	0069-07-18			https://godot.date/id/9Pi7waNJEXKmvRvbEpVZ7h	https://godot.date/id/ckgyKKw5HuAqoZdfbMCNUi		
Vitellius	https://www.wikidata.org/wiki/Q1417	cos. perpetuus		TRUE	0069-07-18	0069-12-20	0069-12-20	TRUE		https://godot.date/id/rQoe2KonXTS6jeSmkArq88			
